,id,operation,thread,service,hrt,arrival,agent,parent_id,parent1,parent2
0,A58F85FB7BFEA652,set,-1476124745,Reference,1559749321159239452,2019-06-05 10:42:01.159240,thread_local_baggage.cpp,,,
3,C0FECE767C6E6819,,-1476124745,Reference,1559749321159457159,2019-06-05 10:42:01.159457,StartTrace,['A58F85FB7BFEA652'],A58F85FB7BFEA652,
2,44FCE998CDA3EDAC,,-1476124745,Reference,1559749321159677611,2019-06-05 10:42:01.159678,luaxtrace.cpp,['C0FECE767C6E6819'],C0FECE767C6E6819,
4,99AFFE4760465E6F,fork,-1476124745,Reference,1559749321160063613,2019-06-05 10:42:01.160064,lua_baggage.cpp,['44FCE998CDA3EDAC'],44FCE998CDA3EDAC,
1,E03F36A4E794E2EC,,-1476124745,Reference,1559749321160333863,2019-06-05 10:42:01.160334,luaxtrace.cpp,['99AFFE4760465E6F'],99AFFE4760465E6F,
5,CF76C3DA7945BB02,set,-930973644,SocialGraphService,1559749321160880677,2019-06-05 10:42:01.160881,SocialGraphHandler.h,['99AFFE4760465E6F'],99AFFE4760465E6F,
6,FC04FE7A354F1FBD,,-930973644,SocialGraphService,1559749321161148500,2019-06-05 10:42:01.161149,SocialGraphHandler.h,['CF76C3DA7945BB02'],CF76C3DA7945BB02,
7,7E0F7E839F135D83,fork,-930973644,SocialGraphService,1559749321161627347,2019-06-05 10:42:01.161627,SocialGraphHandler.h,['FC04FE7A354F1FBD'],FC04FE7A354F1FBD,
8,888AEE3C848EDFAB,fork,-930973644,SocialGraphService,1559749321161943913,2019-06-05 10:42:01.161944,SocialGraphHandler.h,['7E0F7E839F135D83'],7E0F7E839F135D83,
10,8458B32222F989B4,set,1700530225,SocialGraphService,1559749321162044863,2019-06-05 10:42:01.162045,SocialGraphHandler.h,['7E0F7E839F135D83'],7E0F7E839F135D83,
9,3C091887D0FADFCF,set,-882014914,SocialGraphService,1559749321162297537,2019-06-05 10:42:01.162297,SocialGraphHandler.h,['888AEE3C848EDFAB'],888AEE3C848EDFAB,
12,433B8C59521D9C1B,,-882014914,SocialGraphService,1559749321162701597,2019-06-05 10:42:01.162702,ClientPool.h,['3C091887D0FADFCF'],3C091887D0FADFCF,
11,3539E90D4E2C69BF,,1700530225,SocialGraphService,1559749321162884244,2019-06-05 10:42:01.162884,ClientPool.h,['8458B32222F989B4'],8458B32222F989B4,
13,A9E2D3E1D70DCFFE,,1700530225,SocialGraphService,1559749321163109229,2019-06-05 10:42:01.163109,ClientPool.h,['3539E90D4E2C69BF'],3539E90D4E2C69BF,
14,E4F264D655988E9C,,-882014914,SocialGraphService,1559749321163162960,2019-06-05 10:42:01.163163,ClientPool.h,['433B8C59521D9C1B'],433B8C59521D9C1B,
15,CE499BB13F3FDE4C,,1700530225,SocialGraphService,1559749321163279490,2019-06-05 10:42:01.163280,ClientPool.h,['A9E2D3E1D70DCFFE'],A9E2D3E1D70DCFFE,
16,D41E2567F43742B6,,1700530225,SocialGraphService,1559749321163597361,2019-06-05 10:42:01.163597,ClientPool.h,['CE499BB13F3FDE4C'],CE499BB13F3FDE4C,
17,ACF0E5BEBA2AB9A6,,1700530225,SocialGraphService,1559749321163766365,2019-06-05 10:42:01.163766,ClientPool.h,['D41E2567F43742B6'],D41E2567F43742B6,
18,2C4DC4E06F512F32,,1700530225,SocialGraphService,1559749321163944681,2019-06-05 10:42:01.163945,ClientPool.h,['ACF0E5BEBA2AB9A6'],ACF0E5BEBA2AB9A6,
19,06C575606A97BD33,fork,1700530225,SocialGraphService,1559749321164114062,2019-06-05 10:42:01.164114,SocialGraphHandler.h,['2C4DC4E06F512F32'],2C4DC4E06F512F32,
20,FA88006D8C47774B,,-882014914,SocialGraphService,1559749321164132162,2019-06-05 10:42:01.164132,ClientPool.h,['E4F264D655988E9C'],E4F264D655988E9C,
21,BE5AB236A78D9180,,-882014914,SocialGraphService,1559749321164336497,2019-06-05 10:42:01.164336,ClientPool.h,['FA88006D8C47774B'],FA88006D8C47774B,
22,98B5C3616ACDF017,,-882014914,SocialGraphService,1559749321164523538,2019-06-05 10:42:01.164524,ClientPool.h,['BE5AB236A78D9180'],BE5AB236A78D9180,
23,1A369CC1BA51F274,set,-1129597379,UserService,1559749321164537381,2019-06-05 10:42:01.164537,UserHandler.h,['06C575606A97BD33'],06C575606A97BD33,
24,96EE18DDC2F3E1E2,,-1129597379,UserService,1559749321164867130,2019-06-05 10:42:01.164867,UserHandler.h,['1A369CC1BA51F274'],1A369CC1BA51F274,
25,D361A8A577738553,,-1129597379,UserService,1559749321165108115,2019-06-05 10:42:01.165108,UserHandler.h,['96EE18DDC2F3E1E2'],96EE18DDC2F3E1E2,
26,44BE57B215F0C13D,,-882014914,SocialGraphService,1559749321165631149,2019-06-05 10:42:01.165631,ClientPool.h,['98B5C3616ACDF017'],98B5C3616ACDF017,
27,59BFDF5B913D42AC,,-1129597379,UserService,1559749321165773848,2019-06-05 10:42:01.165774,UserHandler.h,['D361A8A577738553'],D361A8A577738553,
28,1ED1349F9EAB1407,,-1129597379,UserService,1559749321166016850,2019-06-05 10:42:01.166017,UserHandler.h,['59BFDF5B913D42AC'],59BFDF5B913D42AC,
29,1F2877105B2D4103,unset,-1129597379,UserService,1559749321166224843,2019-06-05 10:42:01.166225,UserHandler.h,['1ED1349F9EAB1407'],1ED1349F9EAB1407,
30,357F377C0487736A,fork,-882014914,SocialGraphService,1559749321166260650,2019-06-05 10:42:01.166261,SocialGraphHandler.h,['44BE57B215F0C13D'],44BE57B215F0C13D,
33,C3AAC6B56D724257,set,1591669400,UserService,1559749321166809449,2019-06-05 10:42:01.166810,UserHandler.h,['357F377C0487736A'],357F377C0487736A,
31,E9D56277316F793A,fork,1700530225,SocialGraphService,1559749321166974056,2019-06-05 10:42:01.166974,SocialGraphHandler.h,"['06C575606A97BD33', '1ED1349F9EAB1407']",06C575606A97BD33,1ED1349F9EAB1407
35,8D812EA3808B358C,,1591669400,UserService,1559749321167070583,2019-06-05 10:42:01.167071,UserHandler.h,['C3AAC6B56D724257'],C3AAC6B56D724257,
32,0CBAA9C175F88D50,,1700530225,SocialGraphService,1559749321167218616,2019-06-05 10:42:01.167219,ClientPool.h,['E9D56277316F793A'],E9D56277316F793A,
36,82283074C10D6DDE,,1591669400,UserService,1559749321167319630,2019-06-05 10:42:01.167320,UserHandler.h,['8D812EA3808B358C'],8D812EA3808B358C,
34,962C2385972BF4F8,,1700530225,SocialGraphService,1559749321167413765,2019-06-05 10:42:01.167414,ClientPool.h,['0CBAA9C175F88D50'],0CBAA9C175F88D50,
