,id,operation,thread,service,hrt,arrival,agent,parent_id,parent1,parent2
4,59734F8576CB499D,set,-919890209,Reference,1559306903772379755,2019-05-31 07:48:23.772380,thread_local_baggage.cpp,,,
6,45A01836733955A6,,-919890209,Reference,1559306903772593577,2019-05-31 07:48:23.772593,StartTrace,['59734F8576CB499D'],59734F8576CB499D,
5,5FEBC9B722EBC8B4,,-919890209,Reference,1559306903773577325,2019-05-31 07:48:23.773577,luaxtrace.cpp,['45A01836733955A6'],45A01836733955A6,
0,67FA2475CA5ED166,fork,-919890209,Reference,1559306903774093483,2019-05-31 07:48:23.774093,lua_baggage.cpp,['5FEBC9B722EBC8B4'],5FEBC9B722EBC8B4,
1,9F8D71208251ABC5,fork,-919890209,Reference,1559306903774371179,2019-05-31 07:48:23.774371,lua_baggage.cpp,['67FA2475CA5ED166'],67FA2475CA5ED166,
2,2CA6B408CE144AB6,fork,-919890209,Reference,1559306903774644012,2019-05-31 07:48:23.774644,lua_baggage.cpp,['9F8D71208251ABC5'],9F8D71208251ABC5,
3,88683BD85BAAEF8A,fork,-919890209,Reference,1559306903774911555,2019-05-31 07:48:23.774912,lua_baggage.cpp,['2CA6B408CE144AB6'],2CA6B408CE144AB6,
7,1B40685D408F39FE,fork,-919890209,Reference,1559306903775282900,2019-05-31 07:48:23.775283,lua_baggage.cpp,['67FA2475CA5ED166'],67FA2475CA5ED166,
8,B7BF0A9E8ABB45DA,set,-1381091651,MediaService,1559306903777448900,2019-05-31 07:48:23.777449,MediaHandler.h,['1B40685D408F39FE'],1B40685D408F39FE,
9,BD8CB0ED86AEE4C8,,-1381091651,MediaService,1559306903777892797,2019-05-31 07:48:23.777893,MediaHandler.h,['B7BF0A9E8ABB45DA'],B7BF0A9E8ABB45DA,
10,927A9C00B4402E5C,,-1381091651,MediaService,1559306903778265867,2019-05-31 07:48:23.778266,MediaHandler.h,['BD8CB0ED86AEE4C8'],BD8CB0ED86AEE4C8,
11,73C053CE55E6E218,,-1381091651,MediaService,1559306903778578616,2019-05-31 07:48:23.778579,ClientPool.h,['927A9C00B4402E5C'],927A9C00B4402E5C,
12,D2404FC6E7E0F831,,-1381091651,MediaService,1559306903778885031,2019-05-31 07:48:23.778885,ClientPool.h,['73C053CE55E6E218'],73C053CE55E6E218,
13,E9BF50793F397BF1,,-1381091651,MediaService,1559306903779206197,2019-05-31 07:48:23.779206,ClientPool.h,['D2404FC6E7E0F831'],D2404FC6E7E0F831,
14,28C13D56491C8178,,-1381091651,MediaService,1559306903779500896,2019-05-31 07:48:23.779501,ClientPool.h,['E9BF50793F397BF1'],E9BF50793F397BF1,
16,18167E1488E77BE5,,-1381091651,MediaService,1559306903779880638,2019-05-31 07:48:23.779881,ClientPool.h,['28C13D56491C8178'],28C13D56491C8178,
17,7A0F8B5C18DB7238,,-1381091651,MediaService,1559306903780197820,2019-05-31 07:48:23.780198,ClientPool.h,['18167E1488E77BE5'],18167E1488E77BE5,
18,4AE4737F3BD8AAD2,fork,-1381091651,MediaService,1559306903780493373,2019-05-31 07:48:23.780493,MediaHandler.h,['7A0F8B5C18DB7238'],7A0F8B5C18DB7238,
15,5FF67943155E88A2,fork,-919890209,Reference,1559306903783931288,2019-05-31 07:48:23.783931,lua_baggage.cpp,['9F8D71208251ABC5'],9F8D71208251ABC5,
